# Merkezi Yönetim Dış Borç Stoku Tahvil Listesi (T.C. Hazine ve Maliye Bakanlığı, 30.04.2026)
# Kaynak: https://www.hmb.gov.tr/kamu-finansmani-istatistikleri
# Tohum / yedek (fallback) liste — aylık xlsx parse'ı aktif ISIN kümesini günceller, statik künye buradan gelir.
# Sütunlar: isin,currency,couponRate,maturityDate,issueType
US900123AL40,USD,11.875,15.01.2030,Tahvil
US900123AT75,USD,8.000,14.02.2034,Tahvil
US900123AY60,USD,6.875,17.03.2036,Tahvil
US900123BB58,USD,7.250,05.03.2038,Tahvil
US900123BG46,USD,6.750,30.05.2040,Tahvil
US900123BJ84,USD,6.000,14.01.2041,Tahvil
JP579200ADE7,JPY,2.680,07.02.2033,Tahvil
US900123CB40,USD,4.875,16.04.2043,Tahvil
US900123CG37,USD,6.625,17.02.2045,Tahvil
US900123CK49,USD,4.875,09.10.2026,Tahvil
US900123CL22,USD,6.000,25.03.2027,Tahvil
US900123CM05,USD,5.750,11.05.2047,Tahvil
US900123CP36,USD,5.125,17.02.2028,Tahvil
US900123CQ19,USD,6.125,24.10.2028,Tahvil
US900123CT57,USD,7.625,26.04.2029,Tahvil
US900123CY43,USD,5.250,13.03.2030,Tahvil
US900123DA57,USD,5.950,15.01.2031,Tahvil
US900123DC14,USD,5.875,26.06.2031,Tahvil
XS2351109116,USD,5.125,22.06.2026,Kira Sertifikası
XS2361850527,EUR,4.375,08.07.2027,Tahvil
US900123DD96,USD,6.500,20.09.2033,Tahvil
XS2441287773,USD,7.250,24.02.2027,Kira Sertifikası
USM88269US88,USD,8.600,24.09.2027,Tahvil
US900123DF45,USD,9.875,15.01.2028,Tahvil
US900123DG28,USD,9.375,19.01.2033,Tahvil
US900123DH01,USD,9.375,14.03.2029,Tahvil
US900123DJ66,USD,9.125,13.07.2030,Tahvil
XS2689091846,USD,8.509,14.01.2029,Kira Sertifikası
US900123DK30,USD,7.625,15.05.2034,Tahvil
XS2790222116,EUR,5.875,21.05.2030,Tahvil
US900123DL13,USD,7.125,17.07.2032,Tahvil
US900123DN78,USD,6.500,03.01.2035,Değişim
XS2900389870,USD,6.500,26.04.2030,Kira Sertifikası
US900123DP27,USD,7.125,12.02.2032,Tahvil
US900123DQ00,USD,7.250,29.05.2032,Tahvil
XS3072231809,USD,6.750,01.09.2030,Kira Sertifikası
XS3123715297,EUR,5.200,17.08.2031,Tahvil
US900123DR82,USD,6.950,16.09.2035,Tahvil
US900123DS65,USD,6.800,04.11.2036,Tahvil
US900123DT49,USD,6.300,14.03.2033,Tahvil
US900123DU12,USD,6.875,14.01.2038,Tahvil
XS3293834662,EUR,5.150,10.03.2034,Tahvil
US900123DV94,USD,6.375,22.05.2031,Tahvil
